Tickers,MMM UN Equity,GS UN Equity,IBM UN Equity,UNH UN Equity,BA UN Equity,HD UN Equity,JNJ UN Equity,MCD UN Equity,AAPL US Equity,TRV UN Equity,CVX UN Equity,UTX UN Equity,DIS UN Equity,CAT UN Equity,PG UN Equity,XOM UN Equity,V UN Equity,WMT UN Equity,DD UN Equity,JPM UN Equity,MRK UN Equity,AXP UN Equity,MSFT UW Equity,NKE UN Equity,VZ UN Equity,KO UN Equity,INTC UW Equity,PFE UN Equity,CSCO UW Equity,GE UN Equity
29-09-16,175.37,158.95,158.11,138.32,131.03,127.93,117.27,114.79,112.18,113.87,101.27,101.06,91.8,87.47,88.23,86.46,81.92,70.73,66.37,65.65,61.91,63.37,57.4,52.16,52.12,42.03,37.32,33.32,31.39,29.53
28-09-16,177.59,163.45,158.29,140.41,132.23,128.27,119.39,115.18,113.95,115.01,102.15,102.35,92.2,86.59,89.46,86.9,82.97,71.79,67.19,66.71,63.3,64.22,58.03,53.25,52.06,42.15,37.44,33.99,31.5,29.9
27-09-16,176.3,162.89,156.77,140.79,131.32,126.82,119.22,116.88,113.09,114.41,98.98,102.35,91.72,82.88,88.36,83.24,82.16,72.33,67.26,66.36,62.57,64.28,57.95,55.34,52.49,42.59,37.18,33.83,31.48,29.88
26-09-16,175.95,161.48,153.98,139.72,130.57,125.45,117.78,116.53,112.88,113.94,98.78,102.23,91.96,82.37,87.85,83.06,81.81,71.62,66.52,65.78,62.15,63.42,56.9,54.4,52.15,42.05,36.65,33.64,31.07,29.54
25-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-09-16,177.39,165.13,154.98,140.51,131.78,127.79,118.81,117.17,112.71,115.31,99.22,102.56,93.27,82.44,87.76,83.45,82.54,72.35,66.77,67.25,62.96,63.85,57.43,55.15,52.56,42.74,37.19,34.26,31.34,29.89
22-09-16,179.85,168.02,156.11,141.04,131.87,128.75,119.46,117.36,114.62,116.73,99.98,103,93.41,83.5,88.99,83.54,83.36,72.27,66.85,67.39,63.02,64.63,57.82,55.41,52.35,42.96,37.55,34.15,31.66,30.04
21-09-16,179.59,167.03,155.53,139.91,130.56,128.11,118.91,116.93,113.55,115.93,99.63,101.96,92.39,83.47,87.8,83.3,83.22,72.19,67,66.84,62.7,64.28,57.76,55.34,51.87,42.53,37.45,34.28,31.36,29.85
20-09-16,177.6,166.47,154.45,137.47,127.79,126.83,117.95,116.45,113.57,114.79,97.7,100.24,92.95,81.7,88.58,82.54,82.48,71.97,66.7,66.46,61.94,63.72,56.81,54.87,51.27,42.34,37.14,33.81,31.1,29.67
19-09-16,176.72,166.21,154.87,137.68,127.48,126.29,117.66,115.21,113.58,115.09,98.04,100.44,92.63,81.88,88.37,83.83,82.51,72.09,67.33,66.19,61.33,64.06,56.93,54.95,51.2,42.1,37.16,33.65,31.02,29.43
18-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-09-16,175.06,166,153.84,138.47,126.7,126.11,118.25,115.28,114.92,114.67,97.84,100.1,92.56,82.05,88.05,84.03,82.07,72.87,67.25,65.82,62.28,63.66,57.25,55.18,51.88,42.14,37.67,33.94,30.84,29.68
15-09-16,176.59,168.08,155.66,135.61,127.77,126.96,118.63,116.14,115.57,114.94,99.5,102.71,92.5,82.03,88.06,85.08,82.01,72.4,67.56,66.64,62.38,63.83,57.19,55.47,51.98,42.36,36.56,34.14,31.31,29.75
14-09-16,175.62,166.16,154.05,133.69,127.67,126.26,117.86,115.18,111.77,113.71,98.42,101.66,92.26,81.02,87.01,84.6,81.49,71.52,67.03,66.4,61.35,63.48,56.26,55.13,51.49,42.11,35.62,33.94,31,29.7
13-09-16,176.07,167,155.81,133.95,128.76,125.72,117.61,114.73,107.95,114.26,99.43,102.32,92.7,80.23,87.05,85.21,81.89,71.46,67.09,66.53,61.81,64.36,56.53,55.37,51.45,42.28,35.61,34.04,31.06,29.85
12-09-16,178.1,171.06,158.29,135.53,130.12,128.59,119.16,115.95,105.44,115.52,102.25,104.03,93.64,81.92,88.25,87.29,82.97,71.94,68.17,67.06,63.19,65.9,57.05,56.01,52.57,43.19,36.08,34.65,31.44,30.49
11-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-09-16,175.64,168.57,155.69,133.62,128.53,127.74,118.23,114.58,103.13,114.44,101.27,102.68,92.42,80.79,86.24,86.84,81.33,70.3,68.43,66.65,62.49,65.12,56.21,55.33,51.82,42.27,35.44,34.1,30.85,30.11
08-09-16,180.1,171.66,159,135.44,132.9,131.26,119.47,116.17,105.52,116.9,104.12,105.75,94.09,83.54,87.78,89.05,82.97,71.83,69.68,67.25,63.24,66.24,57.43,56.17,53.6,43.63,36.44,34.72,31.47,31.04
07-09-16,179.75,169.67,161.64,134.99,132.64,132.79,119.61,116.92,108.36,118.68,102.88,105.85,93.71,83.72,87.95,88.24,83.24,72.06,69.41,67.16,62.87,66.19,57.66,57.72,53.71,43.64,36.46,34.84,31.79,31.06
06-09-16,180.46,169.33,160.35,135.97,132.99,134.1,119.75,117.25,107.7,119.29,102.43,106.01,93.8,82.08,88.64,88.57,82.53,73,69.69,67.44,63.24,65.76,57.61,57.41,53.51,43.79,36.57,34.77,31.87,31.05
05-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
